type	action	issue	page	recipe
r	l	Apr	40	classic Cornish steak pasties
r	l	Jul	31	creamy beef stroganoff
r	l	Mar	74	cubed steak with chilli & coriander dressing
r	l	Jul	94	fragrant Vietnamese beef noodle soup
r	l	Jul	120	Genovese beef with pesto sauce
r	l	Dec	209	grilled beef & tomato salad with horseradish dressing
r	l	May	90	grilled skirt steak with gorgonzola sauce
r	l	Apr	136	homestead meatloaf
r	l	Jun	139	Japanese-style beef, daikon & cucumber salad
r	l	Dec	108	marinated beef fillet rolled in fresh herbs
r	l	May	98	polpette Toscane (meatballs with porcini mushrooms and pecorino)
r	l	Aug	116	pot-au-feu
r	l	Jun	106	roast beef with with Szechuan pepper and five-spice
r	l	Apr	26	satay beef with pumpkin & kaffir lime leaf
r	l	Jul	34	slow-cooked beef cheeks with horseradish
r	l	Nov	200	spiced beef kebabs with coriander & green chilli sauce
r	l	Jun	126	spicy beef noodles
r	l	Apr	90	steak chilli con carne
r	l	Jul	36	steak, Guinness & Stilton pie
r	l	Sep	104	steak kilpatrick
r	l	Aug	139	steak with fennel & nashi salad
r	l	May	92	Tuscan burgers
r	l	Dec	172	warm peppered beef fillet with parmesan cream
C	c	ingredient:	 beetroot
r	l	Jul	60	baked beetroot & apple soup
r	l	Dec	124	beef & beet salad
r	l	Oct	128	beetroot, carrot & chickpea salad
r	l	Oct	74	beetroot & ginger soup
r	l	Oct	25	beetroot, red apple & watercress salad
r	l	Jul	25	jurassic quail with baby beetroot & radicchio salad
r	l	Aug	86	salmon fillet with beetroot risotto and fresh horseradish cream
C	c	category:	berries
r	l	Oct	92	berry & yoghurt meringues
r	l	Dec	133	cranberry & lemon meringue pies
r	l	Dec	132	sweet cranberry sauce
r	l	Dec	148	fresh homemade cheese with berries
r	l	Nov	100	fresh raspberry tart in coconut & hazelnut pastry
r	l	Oct	116	gluten-free raspberry shortcake
r	l	Feb	147	minted blueberry granita
r	l	Oct	120	mixed berry sorbet
r	l	Mar	64	raspberry frangipane tarts
r	l	Nov	160	raspberry, pistachio & rosewater semifreddo
r	l	Dec	114	spiced cranberry puddings with brandy cream
r	l	Feb	100	stewed apple with blueberries & yoghurt
r	l	Feb	36	strawberry & raspberry jelly with rosewater cream
r	l	Mar	80	stress-free raspberry jam
C	c	category:	biscuits and bars
r	l	Oct	110	date, pecan & sesame bars
r	l	Sep	150	gluten-free nut biscuits
r	l	Jun	99	jammy dodgers
r	l	Jun	142	millet, parmesan & seed biscuits
r	l	Feb	100	oatmeal & raisin cookies
r	l	Dec	184	orange & almond biscotti and poached figs with blue cheese wedge
r	l	Jul	39	pecan, honey & caramel slice
r	l	May	115	pistachio biscotti
r	l	Jun	101	whoopie pies
r	l	Nov	96	and waffles brandade de morue
C	c	category:	breads and doughs
r	l	Nov	154	rolls and toast apple, dried cherry & almond loaf
r	l	Oct	136	basic pasta dough
r	l	May	68	casatiello (stuffed Tuscan bread)
r	l	Sep	119	chargrilled bread with olive butter
r	l	Sep	96	cornbread
r	l	Jul	114	la Bûche d'Affinois with walnut & date bread and roasted quince
r	l	May	97	pandiramerino (rosemary, sultana & olive oil bread)
r	l	May	111	pizza dough
r	l	Aug	40	quick pecan, olive & buttermilk bread
r	l	Dec	204	roti canai
C	c	ingredient:	 breakfast
r	l	Jul	120	baked beans and bacon
r	l	Sep	66	bircher muesli with rhubarb and sweet dukkah
r	l	Sep	64	breakfast fruits
r	l	Feb	70	good British fry-up
r	l	Sep	66	savoury scones
r	l	Dec	233	soft breakfast tacos
C	c	ingredient:	 cabbage
r	l	Jun	85	penne with cabbage, thyme, pancetta and pine nuts
r	l	Apr	120	spicy fried cabbage
r	l	Aug	72	steamed savoy cabbage
C	c	category:	cakes and muffins
r	l	Feb	100	apricot & pistachio muffins
r	l	Oct	116	baked ricotta cheesecake with saffron apricots
r	l	May	100	buccellato (raisin & aniseed cake)
r	l	Jun	61	butterscotch sponge cake with cream-cheese frosting
r	l	Oct	136	carrot muffins with garlic butter
r	l	Dec	102	cherry, white chocolate & almond muffins
r	l	Dec	132	eggnog cheesecake with rum sauce
r	l	May	78	Génoise sponge
r	l	Nov	138	grown-up brownies with ice cream and hot fudge sauce
r	l	Feb	64	hazelnut meringue cake with choc-cinnamon mousse
r	l	Nov	108	intense chocolate mousse cake
r	l	Jun	94	little lemon, almond & polenta cakes
r	l	Dec	148	madeleines
r	l	Dec	59	mini flourless orange & cardamom cakes
r	l	Sep	64	orange marmalade yoghurt cake
r	l	Aug	112	Persian brownies with rosewater cream
r	l	Oct	100	rice bubble layer cake with Fynen vanilla ice cream
r	l	Aug	66	Snowy Mountains cake
r	l	Dec	158	strawberry & vanilla friands
r	l	Sep	80	strawberry sour cream streusel cake
r	l	May	124	torta di mandorle
r	l	Dec	140	torta di noci (walnut cake) with Montenegro Amaro, candied orange and mascarpone
r	l	May	132	torta di riso (rice cake with lemon & almonds)
r	l	Mar	44	upside-down caramel banana cake
r	l	Dec	56	white chocolate cheesecake
C	c	ingredient:	 cheese
r	l	May	84	baci di ricotta (ricotta kisses)
r	l	Dec	33	baked potato skins with gorgonzola, rocket & mustard fruit
r	l	Oct	116	baked ricotta cheesecake with saffron apricots
r	l	Sep	66	baked ricotta with roast tomatoes and bacon
r	l	Jul	94	broccoli & gruyere soup with garlic cheese toasts
r	l	Feb	31	bruschetta with mozzarella & asparagus
r	l	Jul	133	cheddar, roast beef & pangrattato salad
r	l	Jun	108	cheese board
r	l	Jul	84	cheesy spaghetti with bacon & peas
r	l	Nov	126	chicken breasts with goat's feta, semi-dried tomato & basil stuffing
r	l	Feb	78	crumbed bocconcini & roast tomato salad
r	l	Aug	112	feta, mint & pistachio salad
r	l	Dec	120	fig & three-cheese tart
r	l	Jul	68	`French lasagne'
r	l	Dec	148	fresh homemade cheese with berries
r	l	May	128	garlic & herb ricotta with grissini
r	l	Dec	97	goat's cheese & cherry clafoutis
r	l	May	74	goat's-cheese-stuffed roasted pears with honey dressing
r	l	Jun	118	Greek egg & feta pies
r	l	Jun	70	grilled portobellos with mascarpone, stilton and basil
r	l	May	90	grilled skirt steak with gorgonzola sauce
r	l	Nov	156	haloumi open sandwich
r	l	Jul	114	la Bûche d'Affinois with walnut & date bread and roasted quince
r	l	Dec	95	labne with mangoes and honey
r	l	Feb	129	mascarpone tequila ice cream
r	l	Jun	142	millet, parmesan & seed biscuits
r	l	Feb	112	mozzarella with figs and balsamic
r	l	Apr	119	onion & asiago tart
r	l	May	174	onion, ricotta & sage omelette
r	l	Dec	184	orange & almond biscotti and poached figs with blue cheese wedge
r	l	Jul	33	pan-fried ricotta gnocchi with mushroom ragu
r	l	Feb	22	panna cotta with gorgonzola and honey
r	l	Apr	86	pea & haloumi fritters
r	l	Feb	106	Persian feta, zucchini & mint tarts
r	l	May	92	pumpkin & goat's cheese risotto
r	l	Aug	44	ricotta al forno with speck & radicchio
r	l	Dec	88	savoury panna cotta with fig salad
r	l	Jun	78	spiced haloumi pasta
r	l	Dec	104	spiced ricotta crepes with orange sauce
r	l	Aug	38	spinach & goat's curd tarts with poached eggs & pine nut dressing
r	l	Dec	157	strawberry & ricotta cannoli
r	l	May	168	stuffed capsicums with salted ricotta and fennel
r	l	Mar	39	sweet leek, ricotta & tomato lasagne
r	l	Aug	66	tartiflette (cheese & potato bake)
r	l	Jun	100	three-cheese & spinach roll-ups
r	l	Aug	76	three-cheese pumpkin pie
r	l	Dec	172	warm peppered beef fillet with parmesan cream
r	l	Jun	74	warm pumpkin & goat's cheese salad
r	l	Feb	39	zucchini & haloumi fritters
r	l	Jul	132	zucchini & cheddar scones
C	c	ingredient:	 cherries
r	l	Dec	166	cherry & vanilla ice cream
r	l	Dec	102	cherry, white chocolate & almond muffins
r	l	Jun	112	chocolate-cherry mousse
r	l	Mar	110	duck breast with sour cherries
r	l	Dec	97	goat's cheese & cherry clafoutis
r	l	Dec	146	pickled cherry compote
r	l	Mar	84	pork fillet with cherry sauce
r	l	Oct	70	red-wine poached cherries
C	c	ingredient:	 chicken
r	l	Nov	114	bacon-wrapped chicken legs stuffed with pork and pistachios
r	l	Oct	68	baked lemon chicken with ricotta & spring vegetable puree
r	l	Sep	114	barbecued chicken (gai yang)
r	l	Sep	80	buttermilk roast chicken
r	l	Jul	139	chargrilled citrus chicken with sesame and Asian greens
r	l	Apr	56	chicken, asparagus & baby corn stir-fry with fresh black fungus
r	l	Nov	146	chicken with avocado & pink grapefruit salad
r	l	Feb	100	chicken & avocado sandwich
r	l	Nov	126	chicken breasts with goat's feta, semi- dried tomato & basil stuffing
r	l	Jun	119	chicken b'stilla roll
r	l	Aug	124	chicken fajitas
r	l	May	170	chicken with oregano & almonds
r	l	Jul	70	chicken, ham & pea pot pies
r	l	Mar	100	chicken & kumara curry
r	l	Aug	119	chicken liver parfait
r	l	Feb	40	chicken marinated in lemon & garlic with asparagus
r	l	Oct	134	chicken marinated in yoghurt, paprika and lemon juice
r	l	Aug	70	roast free-range chicken
r	l	Feb	110	Singapore paper chicken
r	l	Oct	82	smoked chicken & wild rice salad
r	l	Apr	110	spicy chicken breasts with salted lemon pickle
r	l	Feb	82	summer meatballs
r	l	Jun	76	Thai chicken & asparagus curry
r	l	Aug	78	Thai chicken cakes
r	l	Oct	41	warm smoked-chicken salad
r	l	Jun	91	warm soy sesame chicken, snow pea & broccolini salad
r	l	May	104	white lasagne with chicken & morels
r	l	Jun	82	winter vegetable & chicken broth
C	c	ingredient:	 chickpea
r	l	Jul	122	chickpea, fish & olive stew
r	l	Sep	71	felafel burgers
r	l	Feb	100	hummus
r	l	Sep	143	lamb cutlets with chilli chickpeas & spinach
r	l	Oct	42	Middle Eastern chickpea burgers with herb yoghurt
r	l	Aug	24	Moroccan chickpea soup
r	l	Sep	94	roast capsicum & chickpea dip
r	l	Dec	181	snapper tagine with preserved lime & chickpeas
r	l	May	90	tomato & chickpea soup with gremolata toasts
C	c	category:	chilled desserts
r	l	Aug	104	blood oranges with rhubarb sorbet
r	l	Jun	63	caramelised pecan tart with bourbon ice cream
r	l	Dec	64	cassata Siciliana
r	l	May	136	cassata trifle
r	l	Dec	166	cherry & vanilla ice cream
r	l	Apr	42	chocolate ice cream with `thunder and lightning'
r	l	Nov	134	chocolate marquise
r	l	Jun	65	coffee & rum tiramisu with molasses topping
r	l	May	140	coffee tortoni with almond praline
r	l	Oct	116	frozen rhubarb & ginger torte
r	l	May	106	ginger tiramisu
r	l	Oct	120	guilt-free chocolate gelato
r	l	Feb	64	hazelnut meringue cake with choc-cinnamon mousse
r	l	Dec	94	Italian summer pudding
r	l	May	136	lemon & mascarpone sorbetto
r	l	Sep	98	lime panna cottas
r	l	Feb	129	mascarpone tequila ice cream
r	l	Feb	147	minted blueberry granita
r	l	Oct	120	mixed berry sorbet
r	l	May	139	neapolitan terrine
r	l	Oct	118	orange ice cream with pistachio toffee
r	l	Nov	128	panna cotta tarts with summer fruits
r	l	Feb	22	panna cotta with gorgonzola and honey
r	l	Nov	116	passionfruit parfait
r	l	Dec	97	peaches in Frangelico with semifreddo
r	l	Nov	88	pink champagne float
r	l	Nov	160	raspberry, pistachio & rosewater semifreddo
r	l	Oct	100	rice bubble layer cake with Fynen vanilla ice cream
r	l	Oct	70	sheep's-milk yoghurt ice cream
r	l	Dec	176	sherry trifle semifreddo
r	l	Dec	157	strawberry frozen yoghurt wafers
r	l	Nov	172	strawberry granita
C	c	ingredient:	 chilli
r	l	Dec	234	chilli & basil quesadillas
r	l	Jun	78	chilli beef on avocado
r	l	Apr	86	chilli chicken noodles with peanuts
r	l	Sep	94	chilli for a crowd
r	l	Nov	170	chilli oil
r	l	Nov	196	chilli-rubbed pork with pawpaw & basil salsa
r	l	Feb	105	chilli-salt scotch fillet & roasted chats with rocket & green bean salad
r	l	Sep	94	pimientos de Padrón
r	l	Apr	109	potato & green chilli masala
r	l	Jul	84	quick chilli sauce
r	l	Nov	150	spicy bean & chilli fajitas
r	l	Apr	90	steak chilli con carne
r	l	Oct	110	vegetable chilli
C	c	ingredient:	 chocolate
r	l	Nov	140	broken heart chocolate puddings with mocha sauce
r	l	Dec	102	cherry, white chocolate & almond muffins
r	l	Aug	127	choc-chip bread & butter pudding
r	l	Jul	68	choco-hoto-pots
r	l	Jun	112	chocolate-cherry mousse
r	l	Sep	46	chocolate-coconut self-saucing budino
r	l	Apr	104	chocolate & coconut vacherin with cherry sauce
r	l	Jul	106	chocolate-coffee volcano
r	l	Nov	134	chocolate crepe cake
r	l	Apr	76	chocolate hot-cross-bun- and-butter pudding
r	l	Apr	42	chocolate ice cream with `thunder and lightning'
r	l	Nov	134	chocolate marquise
r	l	Jul	78	chocolate & olive oil tart
r	l	Jun	31	chocolate & orange croissant bread-and-butter pudding
r	l	Apr	37	chocolate & orange pots with vanilla cream
r	l	Mar	112	chocolate & seville figs
r	l	Mar	93	chocolate tart
r	l	Nov	134	chocolate truffle tarts
r	l	Aug	88	churros with chocolate
r	l	Jun	112	gâteau Reine de Saba
r	l	Nov	140	gilded chocolate profiteroles
r	l	Oct	120	guilt-free chocolate gelato
r	l	Nov	108	intense chocolate mousse cake
r	l	Dec	94	Italian summer pudding
r	l	Oct	118	mocha soufflés
r	l	Apr	46	orange chocolate terrine
r	l	Jun	86	steamed chocolate pudding with hot chocolate sauce
r	l	Dec	56	white chocolate cheesecake
r	l	Nov	140	white chocolate mousse with black forest sauce
r	l	Jun	101	whoopie pies
C	c	ingredient:	 coconut
r	l	Sep	46	chocolate & coconut self-saucing budino
r	l	Mar	100	coconut rice
C	c	ingredient:	 coffee
r	l	Jul	106	chocolate-coffee volcano
r	l	Jun	65	coffee & rum tiramisu with molasses topping
r	l	Sep	64	coffee pancakes with breakfast fruits
r	l	May	140	coffee tortoni with almond praline
C	c	ingredient:	 couscous
r	l	Sep	84	chermoula fish with pistachio couscous
r	l	Mar	86	chermoula lamb cutlets with dried-fruit couscous
r	l	Jul	84	hoisin chicken with spiced couscous
r	l	Feb	120	parsley & couscous salad
r	l	Jul	141	snapper with tomato & parsley couscous
C	c	category:	crepes, pancakes and waffles
r	l	Sep	106	Anzac hotcakes with coconut ice cream
r	l	Nov	88	chive crepes with salmon & capers
r	l	Nov	134	chocolate crepe cake
r	l	Sep	64	coffee pancakes with breakfast fruits
r	l	Oct	138	lemon crepes
r	l	Mar	112	poached peaches with oat-buttermilk pancakes
r	l	Aug	94	pumpkin pancakes with sticky maple pecans
r	l	Dec	104	spiced ricotta crepes with orange sauce
r	l	May	175	spring onion crespelle (crepes) with bacon & mushroom ragu
r	l	Mar	40	crunchy chopped salad
C	c	ingredient:	 cucumber
r	l	Nov	86	cucumber, capsicum & feta rolls
r	l	Feb	32	easy cucumber mustard pickles
r	l	Mar	96	sweet cucumber relish
C	c	category:	curries
r	l	Oct	156	broccoli & tofu green curry
r	l	Mar	100	chicken & kumara curry
r	l	Jun	127	chicken red curry with bamboo shoots
r	l	Jul	140	curried parsnip soup
r	l	Jun	60	Kashmiri butter chicken
r	l	Jun	106	lamb & potato curry
r	l	Dec	204	Malaysian fish curry
r	l	Jul	118	pork & eggplant curry
r	l	Aug	142	pork tikka masala
r	l	Aug	80	red prawn curry
r	l	Jun	76	Thai chicken & asparagus curry
C	c	ingredient:	 daikon
r	l	Oct	98	daikon salad
r	l	Jun	139	Japanese-style beef, daikon & cucumber salad
r	l	Dec	214	shoyu ocean trout with daikon, coriander & cucumber salad
C	c	ingredient:	 dates
r	l	Oct	110	date, pecan & sesame bars
r	l	Feb	88	deep-fried dates stuffed with almonds & wrapped in pancetta
r	l	Sep	120	fresh date & almond tart
C	c	category:	desserts
r	l	May	84	pavlovas and meringues; tarts and flans; pies and pastries baci di ricotta (ricotta kisses)
r	l	Feb	50	baked peaches with amaretti biscuits
r	l	Mar	100	banana fritters with caramel sauce and vanilla ice cream
r	l	Jul	104	bread & butter pudding
r	l	Nov	140	broken heart chocolate puddings with mocha sauce
r	l	Jul	64	carrot & walnut puddings
r	l	Aug	127	choc-chip bread & butter pudding
r	l	Jul	68	choco-hoto-pots
r	l	Sep	46	chocolate & coconut self-saucing budino
r	l	Jun	31	chocolate & orange croissant bread-and-butter pudding
r	l	Apr	37	chocolate & orange pots with vanilla cream
r	l	Jun	112	chocolate-cherry mousse
r	l	Jul	106	chocolate-coffee volcano
r	l	Apr	76	chocolate hot-cross-bun-and- butter pudding
r	l	Dec	34	Christmas pudding spoons
r	l	Dec	128	clove & orange jellies with Cointreau cream
r	l	Nov	212	coeur à la crème with strawberries
r	l	Dec	128	confetti puddings with toffee shards
r	l	Feb	120	creamy lemon curd mousse
r	l	Aug	117	creme brulee
r	l	Dec	126	eggnog cheesecake with rum sauce
r	l	Feb	92	figs poached in vin santo
r	l	Dec	34	fruit mince palmiers with vanilla ice cream and sherry
r	l	Jun	112	gâteau reine de saba
r	l	Nov	140	gilded chocolate profiteroles
r	l	Dec	97	goat's cheese & cherry clafoutis
r	l	Aug	146	golden syrup dumplings
r	l	Nov	138	grown-up brownies with ice cream and hot fudge sauce
r	l	Jul	102	guard's pudding
r	l	Jul	103	individual Sussex Pond puddings with lemon butter sauce
r	l	Dec	94	Italian summer pudding
r	l	Dec	60	kulfi brulee
r	l	Dec	128	little figgy puddings with brandy butter stars
r	l	Mar	76	lime & ginger creme brulee
r	l	May	136	limoncello meringue pies
r	l	Jun	144	Meyer lemon posset
r	l	Oct	118	mocha soufflés
r	l	Dec	132	mulled fruits with bay-spiced custard
r	l	Feb	115	Mykonos fruit cup
r	l	Apr	46	orange chocolate terrine
r	l	Sep	98	passionfruit caramel strawberries
r	l	Dec	96	Pedro Ximénez creams with caramel-raisin sauce
r	l	Apr	112	pistachio & orange kulfi
r	l	Mar	42	plum crumble with rolled oats
r	l	Oct	110	quinoa pudding with cranberry compote
r	l	Jul	105	rhubarb & strawberry pudding
r	l	Apr	82	rum baba
r	l	Oct	116	soy & maple creams
r	l	Aug	88	Spanish cinnamon doughnuts with chocolate pots
r	l	Dec	114	spiced cranberry puddings with brandy cream
r	l	Apr	96	spiced creme caramel
r	l	Jun	86	steamed chocolate pudding with hot chocolate sauce
r	l	Jul	107	steamed syrup sponge
r	l	Jul	104	steamed treacle sponge with butterscotch sauce and custard
r	l	Jun	62	stem ginger & dark muscovado puddings
r	l	Jul	102	sticky toffee pudding
r	l	Feb	36	strawberry & raspberry jelly with rosewater cream
r	l	Nov	140	white chocolate mousse with black forest sauce
r	l	May	78	zuccotto
r	l	Mar	40	base tomato sauce
r	l	Aug	72	bread sauce
r	l	Nov	170	chilli oil
r	l	Aug	88	Dijon vinaigrette
r	l	Dec	158	double-strawberry sauce
r	l	Oct	102	Japanese vinaigrette
r	l	Apr	72	lavender jelly
r	l	Nov	168	mayonnaise
r	l	Dec	102	peach chutney with ham
r	l	Dec	204	peanut sauce
r	l	Jul	84	quick chilli sauce
r	l	Oct	102	simple teriyaki sauce
r	l	Dec	132	sweet cranberry sauce
r	l	May	111	tomato sauce
r	l	Oct	96	wakame coriander sauce, pancetta & soba
C	c	category:	drinks
r	l	Feb	70	banana & passionfruit smoothie
r	l	Dec	193	Campari & soda
r	l	Dec	100	champagne cocktail
r	l	Dec	148	citron pressé
r	l	Sep	94	cuba Libre
r	l	Nov	86	freska nova cocktail
r	l	Aug	62	hot buttered rum
r	l	Feb	60	leche merengada punch
r	l	Jun	64	liqueur coffees
r	l	Dec	194	long island iced tea
r	l	Mar	72	lychee champagne cocktail
r	l	Dec	32	lychee martini
r	l	Dec	191	mai tai martini
r	l	Dec	192	negroni fizz
r	l	Nov	82	pomegranate margarita
r	l	Jun	104	prosecco with creme de mure
r	l	Feb	100	rosewater lemonade
r	l	Dec	190	sangria
r	l	Oct	66	sparkling strawberry cocktails
r	l	Dec	158	strawberry lemonade
r	l	Nov	122	sweetpea sensation cocktail
r	l	Feb	60	watermelon & rosé sangria
C	c	ingredient:	 eggplant
r	l	Feb	115	eggplant & red capsicum relish
r	l	Jun	76	eggplant tagine
r	l	Apr	139	hoisin eggplant, prawn & bok choy stir-fry
r	l	May	124	parmigiana di melanzane
r	l	Jul	118	pork & eggplant curry
r	l	Nov	168	roasted barramundi with Szechuan eggplant
r	l	Sep	40	Sicilian-style eggplant and tomatoes
C	c	ingredient:	 eggs
r	l	Nov	65	baked eggs with chorizo
r	l	Apr	102	boiled egg with oven-dried tomatoes and crispy pancetta
r	l	Dec	191	coriander frittata rounds with eggplant relish
r	l	Apr	80	duck eggs en cocotte with truffle
r	l	Mar	53	egg & bacon pie
r	l	Jun	118	Greek egg & feta pies
r	l	Sep	25	Greek scrambled eggs with tomato & feta
r	l	Apr	110	Indian omelette with chilli & coriander
r	l	Dec	162	leeks vinaigrette with eggs mimosa, capers and olives
r	l	Apr	88	mushroom & tomato frittata
r	l	May	174	onion, ricotta & sage omelette
r	l	Feb	70	open omelette of potato & chives with smoked salmon & creme fraiche
r	l	Apr	37	pancetta hash with poached eggs and apple salad
r	l	Dec	100	salmon gravlax with poached eggs
r	l	Dec	233	soft breakfast tacos
C	c	ingredient:	 fig
r	l	Mar	112	chocolate & seville figs
r	l	Feb	78	fig & goat's cheese pizzas
r	l	Dec	120	fig & three-cheese tart
r	l	Apr	44	fig tart with caramel sauce
r	l	Feb	92	figs poached in vin santo
r	l	Dec	128	little figgy puddings with brandy butter stars
r	l	Feb	112	mozzarella with figs and balsamic
r	l	Dec	164	roast lamb with figs, rocket & hazelnut picada
C	c	category:	fish
r	l	Dec	171	anchovy & pesto cigars
r	l	Aug	100	barramundi braised with ratatouille
r	l	Sep	112	barramundi with ginger & passionfruit sauce
r	l	Aug	140	blue-eye with green chilli nam jim and choy sum
r	l	Feb	100	borlotti bean & tuna salad
r	l	Jul	145	broccoli chilli noodles with grilled salmon
r	l	Oct	78	chargrilled fish with chunky Greek salad
r	l	Sep	84	chermoula fish with pistachio couscous
r	l	Jul	122	chickpea, fish & olive stew
r	l	Apr	141	chilli tuna & borlotti bean salad
r	l	Feb	91	coral trout baked in a bag with artichokes, white asparagus and cavolo nero
r	l	Apr	103	crisp-skinned John Dory with roasted radicchio & oyster mushrooms
r	l	Mar	96	crisp-skinned salmon with sweet chilli dressing
r	l	Jul	75	crumbed swordfish with rosemary and chilli
r	l	Apr	48	easy salmon cakes
r	l	Jul	74	farfalle with smoked salmon, vodka and thyme
r	l	Jun	91	fish & chips with caper mayonnaise
r	l	Sep	71	fish fingers with oat & rye crust
r	l	Mar	38	fish meatballs with tomato sauce
r	l	Sep	74	fish pies
r	l	Mar	120	fish saltimbocca with mashed peas
r	l	Aug	110	fried fish with tahini sauce & spinach
r	l	Nov	198	hazelnut-crusted fish with sugar snap & sprout salad
r	l	Feb	68	individual smoked cod & quail egg tarts with roasted truss cherry tomatoes
r	l	Sep	146	Japanese noodles with smoked ocean trout
r	l	Apr	42	John Dory chowder with mussels and cider
r	l	Dec	210	Korean fish stir-fry
r	l	Jun	138	lemon & sumac fish with spiced eggplant
r	l	Oct	126	steamed ocean trout with spiced quinoa
r	l	Dec	139	steamed rainbow trout with caper & parsley mayo
r	l	Jun	136	steamed salmon with tarragon vinaigrette
r	l	Jun	74	sweet & sour fish with pineapple rice
r	l	Mar	46	swordfish with asparagus in bagna cauda
r	l	Nov	148	swordfish with Italian parsley salad and garlic mash
r	l	Dec	112	Thai-style poached whole salmon
r	l	Apr	142	Thai-style smoked trout salad
r	l	Feb	110	tuna & olive tapenade toasts
r	l	Sep	140	tuna, broccolini & cauliflower salad with pine nut & anchovy salsa
r	l	Dec	146	tuna pan bagnat
r	l	Aug	76	tuna pilau
r	l	Oct	124	tuna tataki with shaved asparagus
r	l	May	183	tuna with persimmon, Meyer lemon & fennel
r	l	Aug	62	vodka-cured salmon with watercress pancakes
r	l	Feb	127	Yucatán-style fish in banana leaves
C	c	ingredient:	 fruit
r	l	Sep	64	breakfast fruits
r	l	Dec	34	fruit mince palmiers with vanilla ice cream and sherry
r	l	Oct	74	fruit salad
r	l	Feb	31	mint caipirinha fruit salad
r	l	Dec	132	mulled fruits with bay spiced custard
r	l	Feb	115	Mykonos fruit cup
r	l	Dec	100	passionfruit, lychee & mango salad
