type	action	issue	page	recipe
r	l	30	87	Roasted root vegetable mash
r	l	32	75	Roasted spring vegetables with fresh Parmesan, ricotta and almonds
r	l	31	110	Root vegetable gratin
C	c	ingredient:	 Cashew nuts
r	l	30	74	Honey nut tart
r	l	30	92	Prawns and green beans in black bean and garlic sauce
C	c	ingredient:	 Caulifower
r	l	30	64	Beef and caramelized shallot pies with cauliflower tops
r	l	30	105	Sautéed cauliflower and rocket salad
C	c	ingredient:	 Cavolo nero
r	l	29	104	Wilted greens with fried chick peas
C	c	ingredient:	 Celeriac
r	l	30	102	Autumnal coleslaw
r	l	30	70	Honey glazed roasted root vegetables
r	l	30	87	Roasted root vegetable mash
C	c	ingredient:	 Celery
r	l	30	102	Autumnal coleslaw
r	l	28	103	Fresh vegetable salad
r	l	29	63	Great mixed raw salad
r	l	32	92	Warm salmon carpaccio
C	c	category:	       Cheese 
r	l	30	102	Baked beef kofta with paneer
r	l	32	93	Baked semolina gnocchi
r	l	29	74	Chickpea panelle
r	l	32	119	Fennel, pea and Parmesan risotto
r	l	29	62	Herb and Parmesan bread sticks
r	l	31	82	Lemon and Parmesan sauce
r	l	33	114	Linguine with lemon, Parmesan and soft poached eggs
r	l	29	61	Parmesan croutons
r	l	32	71	Spring greens with roasted mustard haloumi
C	c	ingredient:	 Cherries
r	l	33	71	Cherry confit
r	l	33	74	Cherry, pomegranate molasses and pistachio relish
r	l	33	74	Chocolate and cherry brownie
r	l	33	107	Fig and sour cherry Christmas puddings with crème anglaise
r	l	28	105	Fresh cherry and rhubarb turnovers
C	c	ingredient:	 Chicken
r	l	33	112	Asian steamed chicken with cucumber and a lime dressing
r	l	31	77	Braised chicken with shallots, peas and apples
r	l	31	80	Chicken and Moroccan carrot puree with orange and green olive salsa
r	l	29	86	Chicken bollito with salsa verde
r	l	29	100	Chicken cacciatore
r	l	32	84	Chicken kebabs with coconut and lime sambal
r	l	30	85	Chicken liver pâté with red onion and pomegranate molasses relish
r	l	32	83	Chicken supremes with beans and lemon
r	l	32	82	Chicken, walnut and watercress sandwiches
r	l	30	81	Chicken with zucchini, basil, pine nuts and tomato jam
r	l	32	84	Crispy five spice chicken nibbles with hot sauce
r	l	30	94	Greek chicken with oregano and feta
r	l	28	68	Herb roasted chicken with grilled limes
r	l	30	62	Leek, cider and porcini pot roast chicken
r	l	28	97	One-pan chicken meatballs and roasted tomato sauce
r	l	32	82	Roast chicken on saffron potatoes and leeks
r	l	31	106	Roasted basil and lemon chicken with Jerusalem artichokes
r	l	32	87	Steamed chicken and water chestnut dumplings
r	l	30	99	Thai chicken pies
r	l	31	106	Warm chicken liver salad on garlic croutes
C	c	ingredient:	 Chickpeas
r	l	28	103	Calamari, fennel and chickpea salad
r	l	33	86	Chickpea, fennel and artichoke salad with lemon and date dressing
r	l	29	74	Chickpea panelle
r	l	30	94	Greek chicken with oregano and feta
r	l	31	69	Spanish beans
r	l	29	104	Wilted greens with fried chick peas
C	c	ingredient:	 Chillies
r	l	32	71	Chilli croutons
r	l	32	84	Hot sauce
r	l	32	107	Nuoc mam
r	l	28	92	Sweet red chilli syrup
C	c	ingredient:	 Chocolate
r	l	33	74	Chocolate and cherry brownie
r	l	33	107	Chocolate and coconut marshmallows
r	l	29	96	Chocolate and roasted hazelnut cake
r	l	30	87	Hazelnut, chocolate and date baklava
r	l	33	108	Salty caramel and chocolate Christmas crackers
r	l	31	98	Saucy chocolate pudding with toasted almonds
C	c	ingredient:	 Chorizo
r	l	30	77	Braised pork shoulder with fennel and chorizo
r	l	32	117	Grilled chorizo and avocado salad
r	l	32	98	Pork, chorizo and herb terrine
r	l	33	85	Prawn and chorizo kebabs with smoked paprika and hazelnut aioli
C	c	category:	Chutneys, pickles and relishes
r	l	33	74	Cherry, pomegranate molasses and pistachio relish
r	l	31	72	Date and pomegranate chutney
r	l	28	97	Mango chutney
r	l	30	85	Red onion and pomegranate molasses relish
r	l	33	110	Spiced peach chutney
r	l	30	81	Tomato jam
r	l	28	66	Tomato relish
C	c	ingredient:	 Coconut
r	l	32	106	Baked fish in banana leaves with mango salad
r	l	31	74	Braised shin of beef with lemongrass and coconut
r	l	33	107	Chocolate and coconut marshmallows
r	l	32	84	Coconut and lime sambal
r	l	31	109	Prawn and pork cakes with noodles and broth
r	l	30	92	Quick lamb and kumara curry
r	l	31	90	Red lentil, kumara and coconut soup
r	l	28	90	Sticky rice and coconut puddings with papaya
C	c	ingredient:	 Coffee
r	l	32	100	Coffee and brown sugar brûlées
r	l	33	107	Confectionery and sweets Chocolate and coconut marshmallows
r	l	33	108	Salty caramel and chocolate Christmas crackers
C	c	ingredient:	 Coriander
r	l	31	72	Chermoula paste
r	l	33	117	Coriander and yoghurt dressing
r	l	32	71	Coriander dressing
r	l	32	117	Grilled chorizo and avocado salad
r	l	33	116	Herb and mustard sauce
r	l	32	114	Spicy lamb sausages with white bean hummus
C	c	ingredient:	 Corn
r	l	28	76	Quinoa, sweet corn and edamame bean salad with honey, lime and basil dressing
C	c	category:	Cornichons and gherkins
r	l	32	98	Cornichon and caper salsa
r	l	33	80	New potato and herb salad
C	c	ingredient:	 Couscous
r	l	31	72	Pumpkin couscous
r	l	29	85	Sicilian fish couscous
C	c	ingredient:	 Cranberries
r	l	33	79	Baked ham with cranberries and glacé peaches
r	l	33	107	Fig and sour cherry Christmas puddings with crème anglaise
r	l	33	108	Salty caramel and chocolate Christmas crackers
C	c	ingredient:	 Crème fraîche
r	l	33	85	Crab, lemon and crème fraîche tart
r	l	33	102	Smoked fish brandade
C	c	ingredient:	 Cucumber
r	l	33	112	Asian steamed chicken with cucumber and a lime dressing
r	l	28	76	Cucumber salad with spicy and sweet poppy seed dressing
C	c	ingredient:	 Dates
r	l	32	71	Baby carrot and date salad with coriander dressing
r	l	33	86	Chickpea, fennel and artichoke salad with lemon and date dressing
r	l	31	72	Date and pomegranate chutney
r	l	32	104	Date, rum and ricotta strudels
r	l	30	79	Fresh orange and date salad
r	l	30	87	Hazelnut, chocolate and date baklava
r	l	28	79	Roast beetroot, fresh date and pistachio salad
r	l	29	93	Sicilian date, fig and lemon biscuits
C	c	category:	Desserts and puddings 
r	l	31	110	Blackberry and apple cobbler
r	l	28	89	Blackberry and lemon loaf
r	l	31	102	Cardamom madeleines with roasted tamarillo fool
r	l	32	100	Coffee and brown sugar brûlées
r	l	29	107	Fig and caraway seed biscotti
r	l	33	107	Fig and sour cherry Christmas puddings with crème anglaise
r	l	33	120	Fresh plum and berry clafouti
r	l	32	120	Grilled pineapple with butterscotch sauce
r	l	28	86	Grilled pineapple with mint and lime sugar
r	l	33	83	Honey roasted peanut, rum and caramel tiramisu
r	l	29	71	Limoncello and raspberry tiramisu
r	l	28	86	Melon with lemongrass syrup
r	l	33	94	Nougat sesame biscuits with honey roasted peaches
r	l	31	84	Orange and saffron confit
r	l	30	72	Poached apricots with rosemary and peppercorn syrup
r	l	28	86	Roast stonefruit with ricotta and pistachios
r	l	29	106	Roasted plums and rhubarb
r	l	33	73	Roasted strawberry and rhubarb compote
r	l	31	98	Saucy chocolate pudding with toasted almonds
r	l	30	106	Self-saucing banana butterscotch pudding
r	l	29	88	Spiced sesame and honey torrone
r	l	31	100	Steamed candied orange puddings
r	l	31	96	Sticky pear and ginger pudding with toffee sauce
r	l	28	90	Sticky rice and coconut puddings with papaya
r	l	31	94	Vanilla rice pudding with Shiraz poached quinces
r	l	30	68	Yoghurt, lime and honey panna cotta
r	l	29	96	Zabaglione with Marsala raisins
C	c	category:	Dressings and mayonnaise
r	l	32	92	Anchovy dressing
r	l	33	117	Coriander and yoghurt dressing
r	l	32	71	Coriander dressing
r	l	28	68	Herb dressing
r	l	28	76	Honey, lime and basil dressing
r	l	33	86	Lemon and date dressing
r	l	33	112	Lime dressing
r	l	28	79	Mint dressing
r	l	29	104	Mint dressing
r	l	28	81	Mustard seed dressing
r	l	28	105	Pistachio and tarragon dressing
r	l	33	79	Preserved lemon aioli
r	l	33	86	Preserved lemon dressing
r	l	28	101	Pumpkin seed dressing
r	l	33	85	Smoked paprika and hazelnut aioli
r	l	28	76	Spicy and sweet poppy seed dressing
r	l	28	83	Tomato and rosemary vinaigrette
C	c	ingredient:	 Drinks
r	l	31	80	Lime and lemonade
r	l	29	97	Sgroppino
C	c	ingredient:	 Duck
r	l	32	107	Crispy duck spring rolls
r	l	30	57	Duck and cinnamon pear salad with crispy wontons
r	l	31	72	Duck tagine with pumpkin couscous and date chutney
r	l	30	70	Honey spiced duck
C	c	ingredient:	 Eggplants
r	l	29	85	Baked spaghetti with eggplant and bocconcini - Involtini
r	l	33	117	Eggplant and zucchini salad with coriander and yoghurt dressing
r	l	29	74	Eggplant stemperata
r	l	28	63	Picnic loaf
r	l	29	96	Zabaglione with Marsala raisins
C	c	ingredient:	 Eggs
r	l	32	92	Beef and beetroot salad with anchovy dressing
r	l	32	100	Coffee and brown sugar brûlées
r	l	33	107	Crème anglaise
r	l	30	101	Crispy eggs with bacon and lentils
r	l	28	101	Family-style baked omelette with zucchini and smoked salmon
r	l	31	94	Ginger custard
r	l	32	98	Leek and goat's cheese tart with walnut pastry
r	l	33	114	Linguine with lemon, Parmesan and soft poached eggs
r	l	28	63	Picnic loaf
r	l	31	108	Potato crusted silverbeet and feta tart
r	l	31	82	Ricotta and rocket gnocchi with lemon and Parmesan sauce
r	l	33	99	Sweet potato and spinach tortilla with feta yoghurt
C	c	ingredient:	 Edamame beans
r	l	33	86	Green bean, edamame and avocado salad with preserved lemon dressing
r	l	31	86	Hot and sour soup with mushrooms and tofu
r	l	28	76	Quinoa, sweet corn and edamame bean salad with honey, lime and basil dressing
C	c	ingredient:	 Fennel
r	l	30	102	Autumnal coleslaw
r	l	28	60	Bagels with shaved pork, fennel and lime salad
r	l	32	83	Beans and lemon
r	l	29	66	Braised fennel
r	l	30	77	Braised pork shoulder with fennel and chorizo
r	l	28	103	Calamari, fennel and chickpea salad
r	l	33	86	Chickpea, fennel and artichoke salad with lemon and date dressing
r	l	32	119	Fennel, pea and Parmesan risotto
r	l	31	81	Prawn, grapefruit and fregola salad
r	l	32	71	Roasted fennel and prawns with chilli croutons
r	l	31	74	Roasted fish with potatoes and fennel
r	l	28	76	Watermelon, fennel and feta salad with prawns
C	c	ingredient:	 Feta
r	l	33	99	Feta yoghurt
r	l	30	94	Greek chicken with oregano and feta
r	l	32	117	Grilled chorizo and avocado salad
r	l	31	108	Potato crusted silverbeet and feta tart
r	l	33	116	Roasted loin of lamb with orange and cumin glazed carrots
r	l	28	76	Watermelon, fennel and feta salad with prawns
C	c	ingredient:	 Figs
r	l	29	93	Brandy and honey baked figs
r	l	29	107	Fig and caraway seed biscotti
r	l	33	107	Fig and sour cherry Christmas puddings with crème anglaise
r	l	29	93	Sicilian date, fig and lemon biscuits
C	c	category:	Fish 
r	l	32	106	Baked fish in banana leaves with mango salad
r	l	33	112	Barbecued whole fish with garlic and herb butter
r	l	28	97	Braised market fish with mushrooms and bok choy
r	l	29	99	Crispy skinned fish with orange, parsley and pine nut salad
r	l	32	117	Fettuccine with fish, clams and tomatoes
r	l	29	61	Fritto misto
r	l	30	81	Lemongrass and seafood soup
r	l	33	91	Lime and wasabi marinated tuna with avocado
r	l	31	105	Market fish with white wine, grapes and tarragon
r	l	28	68	Monkfish and squid souvlaki with herb dressing
r	l	31	74	Roasted fish with potatoes and fennel
r	l	28	60	Scandinavian fish and prawn sandwiches with mustard sauce
r	l	29	85	Sicilian fish couscous
r	l	33	102	Smoked fish and parsnip cakes with Smoked fish brandade
r	l	29	78	White fish carpaccio with fried sage, capers and preserved lemon
C	c	ingredient:	 Garlic
r	l	33	112	Garlic and herb butter
r	l	28	66	Grilled mozzarella and garlic breads
r	l	30	70	Honey glazed roasted root vegetables
r	l	32	107	Nuoc mam
C	c	ingredient:	 Ginger
r	l	31	94	Ginger custard
r	l	31	96	Sticky pear and ginger pudding with toffee sauce
r	l	30	77	Goat's cheese Baked goat's cheese with dry roasted olives
r	l	33	91	Caramelized onion, anchovy and goat's cheese tartlets
r	l	32	98	Leek and goat's cheese tart with walnut pastry
r	l	33	100	Quince and goat's cheese balls with walnut crumb
r	l	28	63	Roasted tomato and goat's cheese bruschetta
r	l	32	69	Zucchini, mint and goat's cheese pizzas
C	c	ingredient:	 Grapefruit
r	l	31	81	Prawn, grapefruit and fregola salad
C	c	ingredient:	 Grapes
r	l	30	68	Grape and blue cheese schiacciata with honey
r	l	31	105	Market fish with white wine, grapes and tarragon
C	c	ingredient:	 Ham
r	l	33	79	Baked ham with cranberries and glacé peaches
C	c	ingredient:	 Hazelnuts
r	l	30	102	Autumnal coleslaw
r	l	31	82	Baked witlof with orange and hazelnuts
r	l	29	96	Chocolate and roasted hazelnut cake
r	l	30	87	Hazelnut, chocolate and date baklava
r	l	31	100	Hazelnut tiramisu layer cake
r	l	32	87	Poached chicken, apple, rocket and hazelnut salad
r	l	28	70	Roasted capsicum and hazelnut sauce
r	l	33	85	Smoked paprika and hazelnut aioli
r	l	28	95	Spinach, orange and hazelnut salad
r	l	33	69	Strawberry and hazelnut meringues with crushed strawberry cream
r	l	28	73	Stuffed salmon in vine leaves
C	c	ingredient:	 Honey
r	l	29	93	Brandy and honey baked figs
r	l	30	70	Cinnamon buttermilk hotcakes
r	l	30	68	Grape and blue cheese schiacciata with honey
r	l	30	68	Honey crisps
r	l	30	70	Honey glazed roasted root vegetables
r	l	28	76	Honey, lime and basil dressing
r	l	33	94	Honey roasted peaches
r	l	30	70	Honey spiced duck
r	l	32	108	Pears, blue cheese and walnuts in baking paper
r	l	29	97	Sgroppino
r	l	29	88	Spiced sesame and honey torrone
r	l	30	68	Yoghurt, lime and honey panna cotta
C	c	category:	Ice cream and frozen desserts
r	l	29	89	Almond granita - Granita di mandorle
r	l	33	75	Cherry granita
r	l	28	89	Frozen blueberry yoghurt
r	l	29	93	Mascarpone and vanilla bean semifreddo
C	c	ingredient:	 Kumara
r	l	30	70	Honey glazed roasted root vegetables
r	l	30	92	Quick lamb and kumara curry
r	l	31	90	Red lentil, kumara and coconut soup
r	l	30	87	Roasted root vegetable mash
r	l	31	110	Root vegetable gratin
r	l	33	99	Sweet potato and spinach tortilla with feta yoghurt
C	c	ingredient:	 Lamb
r	l	31	105	Baked Turkish lamb manti with minted yoghurt sauce
r	l	29	65	Braised lamb with olives
r	l	32	95	Lamb sausage and red wine ragu
r	l	28	66	Lamb shoulder chops with charred tomato relish
r	l	32	95	Navarin of spring lamb
r	l	30	92	Quick lamb and kumara curry
r	l	31	69	Roast breast of lamb on Spanish beans
r	l	33	116	Roasted loin of lamb with orange and cumin glazed carrots
r	l	29	102	Roman-style lamb cutlets
r	l	28	97	Spiced lamb pide pockets with mango chutney
r	l	32	114	Spicy lamb sausages with white bean hummus
r	l	33	86	Zucchini-wrapped lamb cutlets
C	c	ingredient:	 Leeks
r	l	32	98	Leek and goat's cheese tart with walnut pastry
r	l	30	62	Leek, cider and porcini pot roast chicken
r	l	31	77	Puy lentils with leeks
r	l	32	82	Saffron potatoes and leeks
C	c	ingredient:	 Lemongrass
r	l	31	74	Braised shin of beef with lemongrass and coconut
r	l	30	81	Lemongrass and seafood soup
r	l	28	86	Lemongrass syrup
C	c	ingredient:	 Lemons
r	l	32	83	Beans and lemon
r	l	28	89	Blackberry and lemon loaf
r	l	33	85	Crab, lemon and crème fraîche tart
r	l	31	82	Lemon and Parmesan sauce
r	l	32	100	Lemon, yoghurt and poppy seed cake with blueberry sauce
r	l	32	111	Lemon yoghurt sauce
r	l	31	80	Lime and lemonade
r	l	33	114	Linguine with lemon, Parmesan and soft poached eggs
r	l	33	79	Preserved lemon aioli
r	l	33	86	Preserved lemon dressing
r	l	31	106	Roasted basil and lemon chicken with Jerusalem artichokes
r	l	29	93	Sicilian date, fig and lemon biscuits
r	l	33	73	Strawberry and lemon tart
r	l	29	78	White fish carpaccio with fried sage, capers and preserved lemon
r	l	32	76	Zesty rice salad with preserved lemon, artichokes and asparagus
C	c	ingredient:	 Lentils
r	l	30	101	Crispy eggs with bacon and lentils
r	l	30	59	Mushroom and lentil soup with Gorgonzola polenta croutons
r	l	31	77	Puy lentils with leeks
r	l	31	90	Red lentil, kumara and coconut soup
C	c	ingredient:	 Lettuce
r	l	32	92	Beef and beetroot salad with anchovy dressing
r	l	29	63	Great mixed raw salad
r	l	32	119	Green salad
r	l	28	105	Pear, avocado and mixed greens with pistachio and tarragon dressing
C	c	ingredient:	 Limes
r	l	28	60	Bagels with shaved pork, fennel and lime salad
r	l	32	84	Coconut and lime sambal
r	l	28	68	Herb roasted chicken with grilled limes
r	l	28	76	Honey, lime and basil dressing
r	l	31	80	Lime and lemonade
r	l	33	91	Lime and wasabi marinade
r	l	33	112	Lime dressing
r	l	28	86	Mint and lime sugar
r	l	30	68	Yoghurt, lime and honey panna cotta
C	c	ingredient:	 Mangos
r	l	28	70	Mango and pineapple salsa
r	l	28	97	Mango chutney
r	l	32	106	Mango salad
r	l	28	92	Mango tart with sweet red chilli syrup
C	c	category:	Marinades
r	l	33	91	Lime and wasabi marinade
C	c	ingredient:	 Mascarpone
r	l	29	71	Limoncello and raspberry tiramisu
r	l	29	93	Mascarpone and vanilla bean semifreddo
C	c	ingredient:	 Melons
r	l	28	86	Melon with lemongrass syrup
C	c	ingredient:	 Meringue
r	l	33	69	Strawberry and hazelnut meringues with crushed strawberry cream
C	c	ingredient:	 Mint
r	l	33	119	Beetroot and tomato salad with capers and mint
r	l	33	112	Garlic and herb butter
r	l	33	116	Herb and mustard sauce
